candidate,span_K,T_mid_K,Tc_used_K,tc_window,in_range,1stage_COP,2stage_COP,3stage_COP,4stage_COP,1stage_Qc_W,2stage_Qc_W,3stage_Qc_W,4stage_Qc_W
Gd (fixed),5.0,293.6,294.0,n/a (not tunable),True,5.42,3.97,2.79,2.231,1095.9,1309.5,1422.8,1479.5
Gd5Si2Ge2 (fixed comp.),5.0,293.6,276.0,n/a (not tunable),True,,,,,,,,
Gd5(SixGe1-x)4(-Ga) (tuned),5.0,293.6,283.0,20.0-290.0K,True,3.547,,,,2127.6,,,
"La(Fe,Si)13Hy (tuned)",5.0,293.6,283.0,190.0-340.0K,True,9.722,,,0.085,5752.7,,,22.5
"(Mn,Fe)2(P,Si) (tuned)",5.0,293.6,281.2,295.3-331.2K,False,5.42,3.97,2.79,2.231,1095.9,1309.5,1422.8,1479.5
Nanocomposite (LAFESIH 3-phase blend) (tuned),5.0,293.6,283.0,194.0-336.0K,True,6.93,,,,2525.5,,,
Ga1-xCMn3+x (tuned),5.0,293.6,293.2,250.0-323.5K,True,,,0.251,0.309,,,80.0,143.5
Mn1-xCuxCoGe (tuned),5.0,293.6,288.0,291.0-316.0K,False,5.42,3.97,2.79,2.231,1095.9,1309.5,1422.8,1479.5
Gd (fixed),10.0,296.1,294.0,n/a (not tunable),True,4.96,3.054,2.475,2.086,1257.5,1095.9,1196.7,1309.5
Gd5Si2Ge2 (fixed comp.),10.0,296.1,276.0,n/a (not tunable),True,,,,,,,,
Gd5(SixGe1-x)4(-Ga) (tuned),10.0,296.1,285.4,20.0-290.0K,True,2.299,,,,1352.3,,,
"La(Fe,Si)13Hy (tuned)",10.0,296.1,285.4,190.0-340.0K,True,7.164,,,,4989.1,,,
"(Mn,Fe)2(P,Si) (tuned)",10.0,296.1,283.7,295.3-331.2K,False,4.96,3.054,2.475,2.086,1257.5,1095.9,1196.7,1309.5
Nanocomposite (LAFESIH 3-phase blend) (tuned),10.0,296.1,285.4,194.0-336.0K,True,4.795,0.0,0.0,0.0,1753.7,863.9,1179.5,1335.2
Ga1-xCMn3+x (tuned),10.0,296.1,295.6,250.0-323.5K,True,,,,,,,,
Mn1-xCuxCoGe (tuned),10.0,296.1,290.5,291.0-316.0K,False,4.96,3.054,2.475,2.086,1257.5,1095.9,1196.7,1309.5
Gd (fixed),15.0,298.6,294.0,n/a (not tunable),True,0.823,2.581,1.96,1.69,115.7,1837.0,1095.9,1140.5
Gd5Si2Ge2 (fixed comp.),15.0,298.6,276.0,n/a (not tunable),True,,,,,,,,
Gd5(SixGe1-x)4(-Ga) (tuned),15.0,298.6,287.8,20.0-290.0K,True,1.101,,,,581.3,,,
"La(Fe,Si)13Hy (tuned)",15.0,298.6,287.8,190.0-340.0K,True,5.619,,,,4241.0,,,
"(Mn,Fe)2(P,Si) (tuned)",15.0,298.6,286.2,295.3-331.2K,False,0.823,2.581,1.96,1.69,115.7,1837.0,1095.9,1140.5
Nanocomposite (LAFESIH 3-phase blend) (tuned),15.0,298.6,287.8,194.0-336.0K,True,3.092,0.0,,,984.4,551.7,,
Ga1-xCMn3+x (tuned),15.0,298.6,298.2,250.0-323.5K,True,,,,,,,,
Mn1-xCuxCoGe (tuned),15.0,298.6,293.1,291.0-316.0K,True,6.202,,0.416,0.438,9174.7,,184.3,337.6
Gd (fixed),20.0,301.1,294.0,n/a (not tunable),True,,0.335,1.41,1.279,,1257.5,1991.9,1095.9
Gd5Si2Ge2 (fixed comp.),20.0,301.1,276.0,n/a (not tunable),True,,,,,,,,
Gd5(SixGe1-x)4(-Ga) (tuned),20.0,301.1,290.8,20.0-290.0K,False,,0.335,1.41,1.279,,1257.5,1991.9,1095.9
"La(Fe,Si)13Hy (tuned)",20.0,301.1,290.2,190.0-340.0K,True,4.565,,,,3499.4,,,
"(Mn,Fe)2(P,Si) (tuned)",20.0,301.1,288.7,295.3-331.2K,False,,0.335,1.41,1.279,,1257.5,1991.9,1095.9
Nanocomposite (LAFESIH 3-phase blend) (tuned),20.0,301.1,290.2,194.0-336.0K,True,0.928,,,,204.6,,,
Ga1-xCMn3+x (tuned),20.0,301.1,300.6,250.0-323.5K,True,,,,,,,,
Mn1-xCuxCoGe (tuned),20.0,301.1,295.6,291.0-316.0K,True,5.119,,,0.0,8445.2,,,29.8
